,masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,ASCI.hybrid,PyrethroidSum,huc,smcshed,smc_lu,latitude,longitude,probabilistic
5177,SMC00857,SMC00857_2011,NA,NA,0.43263907,0.54953437,NA,903,Northern San Diego,Urban,33.24609,-117.30088,TRUE
5178,SMC00873,SMC00873_2009,NA,NA,0.68214266,0.93014346,NA,901,San Juan,Urban,33.59849,-117.62668,TRUE
5180,SMC00873,SMC00873_2014,NA,NA,0.79278922,0.86905531,NA,901,San Juan,Urban,33.59849,-117.62668,TRUE
5182,SMC00873,SMC00873_2015,NA,NA,0.72368529,NA,NA,901,San Juan,Urban,33.59849,-117.62668,TRUE
5184,SMC00873,SMC00873_2016,95,95,0.62733902,0.84709589,NA,901,San Juan,Urban,33.59849,-117.62668,TRUE
5186,SMC00873,SMC00873_2017,100,100,0.55965967,0.56785883,NA,901,San Juan,Urban,33.59849,-117.62668,TRUE
5188,SMC00873,SMC00873_2018,100,100,NA,NA,NA,901,San Juan,Urban,33.59849,-117.62668,TRUE
5190,SMC00873,SMC00873_2019,100,100,NA,NA,0.000327,901,San Juan,Urban,33.59849,-117.62668,TRUE
5192,SMC00899,SMC00899_2011,NA,NA,0.3183807,0.75684356,NA,801,Lower Santa Ana,Urban,33.71747,-117.7888,TRUE
5194,SMC00910,SMC00910_1998,NA,NA,0.41559905,NA,NA,901,San Juan,Open,33.51383,-117.74426,TRUE
5196,SMC00910,SMC00910_1999,NA,NA,0.64337546,NA,NA,901,San Juan,Open,33.51383,-117.74426,TRUE
5198,SMC00910,SMC00910_2000,NA,NA,0.67724807,NA,NA,901,San Juan,Open,33.51383,-117.74426,TRUE
5200,SMC00910,SMC00910_2009,NA,NA,0.66615617,0.37498181,NA,901,San Juan,Open,33.51383,-117.74426,TRUE
5201,SMC00911,SMC00911_2009,NA,NA,1.00026591,0.98120174,NA,402,Ventura,Open,34.50797,-119.29854,TRUE
5202,SMC00921,SMC00921_2010,NA,NA,0.56720312,0.59494168,NA,904,Central San Diego,Urban,33.10624,-117.11573,TRUE
5203,SMC00924,SMC00924_2009,NA,NA,1.30545388,0.77537484,NA,412,Los Angeles,Open,34.22394,-118.18053,TRUE
5204,SMC00924,SMC00924_2010,NA,NA,0.64652317,NA,NA,412,Los Angeles,Open,34.22394,-118.18053,TRUE
5205,SMC00924,SMC00924_2011,NA,NA,0.70797257,NA,NA,412,Los Angeles,Open,34.22394,-118.18053,TRUE
